,頻道名,網址,類別,icon
92,INFINI HD 4K ( dan201 ),https://www.youtube.com/c/dan201/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLTxeZOUHEF_NTrhmw3Onhr2zNMhEcp4NC6-m7c7HA=s900-c-k-c0x00ffffff-no-rj
93,VS MEDIA Taiwan,https://www.youtube.com/c/VSMediatw/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLQF06LtViJR1ClINejue4bEp9hUbUBQ8RNEsIwu7g=s900-c-k-c0x00ffffff-no-rj
94,counter656,https://www.youtube.com/c/counter656/videos,電影動漫,https://yt3.ggpht.com/ytc/AKedOLR7_HSynZ_lU9An0tahhEzDyqZ6TPfkd2h-C1k7=s900-c-k-c0x00ffffff-no-rj
95,Taiwan Bar ,https://www.youtube.com/c/TaiwanBar/videos,教育,https://yt3.ggpht.com/ytc/AKedOLSwgG7f9kIoOpuC3iTX22Gmms1U8v-h7_kHU3qVBg=s900-c-k-c0x00ffffff-no-rj
96,Stopkiddinstudio ,https://www.youtube.com/user/Stopkiddinstudio/videos,旅遊類,https://yt3.ggpht.com/ytc/AKedOLT35ZYDbINQy4yCZc4sZ0njY9o5gRdnsnu-TYxqJg=s900-c-k-c0x00ffffff-no-rj
97,健康2.0,https://www.youtube.com/c/%E5%81%A5%E5%BA%B720health20/videos,教育,https://yt3.ggpht.com/ytc/AKedOLTdFH4OuNHp5ONcQZPLS9bfES_MOlzYidkA6qBT=s900-c-k-c0x00ffffff-no-rj
98,含羞草,https://www.youtube.com/c/%E5%90%AB%E7%BE%9E%E8%8D%89MIMOSAGO/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLT6Q2-xd0xW1Yuv5g70OJ9CK3ht5MjpGK1VSZv1=s900-c-k-c0x00ffffff-no-rj
99,黃阿瑪的後宮生活,https://www.youtube.com/channel/UCw2W7GIqJNB-UMUxncnMuiw/videos,寵物,https://yt3.ggpht.com/ytc/AKedOLRxMgGDxr09nGa7y_yeUaRuHMUmZvDoZW_HmDeo=s900-c-k-c0x00ffffff-no-rj
100,Sadhguru 繁體中文,心靈,https://yt3.ggpht.com/ytc/AKedOLT1_58QIDu1tPHjTBZx0ZjcLqMNYrsm31usibAM=s176-c-k-c0x00ffffff-no-rj
101,超級旅行者,心靈,https://yt3.ggpht.com/I4Kh6FrC2Vg2zlZOb3hfgWmDkACqNthgWvwguPhHW1789EvEZ8BHJFXlRK8Q-fA-Vw54jDRFtGM=s176-c-k-c0x00ffffff-no-rj
102,SherryChen雪莉,心靈,https://yt3.ggpht.com/ytc/AKedOLROOPTYiNPEsLviFGCecUM6Pv1PYpp_zzYZXdvjE54=s176-c-k-c0x00ffffff-no-rj
